,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
0,Josip Mijatović,12,809,67.41666667,173,68,20,7.14,1,0.11,0.67,0,0.18,0,0.22,1.78,0.92,0.3,0.11,102.6,0.73,0,13,1.45,24,0,0,0,0,0,0,0,1,4.45,0,Croatia (3. HNL Zapad),0.88,84,0,0,5.555555556,0.1268232386,€3K - €9K,6000
1,Duje Ninčević,15,1161,77.4,172,69,25,6.84,0,0,0.38,0,0.56,0.08,0.39,1.09,0.9,0.75,0.16,150.3,0.71,0,19,1.47,46,0,0,0,0,0,0,0,0,4.26,0,Croatia (3. HNL Jug),0.76,79,0,0,0,0.1294573643,€0 - €2.5K,1250
2,Marin Karabatić,15,1350,90,170,62,22,6.9,0,0,0.1,0,3.31,0.14,0,0.73,0.89,0.28,0.33,172.8,0.79,7,21,2.93,78,0,0,0,0,0,0,0,1,6.73,0,Croatia (3. HNL Jug),0.77,87,0,0,0,0.128,€0 - €12K,6000
3,Vicko Ševelj,20,1738,86.9,192,86,22,7.15,1,0.05,0.3,0,0.42,0,0.26,0.31,0.87,0.15,0.05,101.9,0.8,2,17,1.4,74,0,0,0,0,0,0,0,1,5.75,1,Bosnia & Herzegovina (Liga 12),0.88,95,0,0,2.380952381,0.0586306099,€100K - €1M,550000
4,Fran Vujnović,15,1384,92.26666667,190,77,19,7.23,4,0.26,0.33,0,0,0,0.13,0,0.8,0,0,22.2,0.63,0,14,0.39,16,0,0,0,0,0,0,0,0,1.56,0,Croatia (3. HNL Istok),0.93,83,0,0,0,0.01604046243,€14K - €150K,82000
5,Šimun Mikolčić,15,1380,92,180,70,18,7.32,1,0.07,0.33,0,0.04,0,0.2,0.07,0.78,0,0.07,18.8,0.5,0,20,0.2,0,0,0,0,0,0,0,0,0,0.26,0,Croatia (3. HNL Istok),0.75,81,0,0,25,0.01362318841,€35K - €350K,192500
6,Romano Lisjak,16,1440,90,188,80,21,6.96,1,0.06,0.31,0,1.18,0.5,0.19,0.25,0.9,1,0,145.9,0.74,1,15,3.12,160,0,0,0,0,0,0,0,1,16.06,0,Croatia (3. HNL Istok),0.77,78,0,0,0.8474576271,0.1013194444,€0 - €50K,25000
7,Dominik Ivkič,15,1350,90,190,78,25,6.87,2,0.13,0.4,0,0.64,0,0,0.13,0.84,1,0.07,128.9,0.88,2,11,2.47,149,0,0,0,0,0,0,0,0,12.33,1,Croatia (3. HNL Zapad),0.8,94,0,0,3.125,0.09548148148,€0 - €14K,7000
8,Bruno Župan,11,943,85.72727273,172,66,22,7.03,1,0.1,0.5,0,0.36,0.11,0,0.86,0.94,0.18,0.29,125.1,0.8,0,18,3.53,64,0,0,0,0,0,0,0,0,7.64,2,Croatia (Druga HNL),0.84,81,0,0,2.777777778,0.1326617179,€1.5K - €4.5K,3000
9,Mislav Komorski,11,977,88.81818182,190,80,30,6.96,0,0,0.2,0,0.36,0.2,0,0.28,0.91,0,0,114.2,0.79,4,14,3.04,121,0,0,0,0,0,0,0,1,18.24,0,Croatia (Druga HNL),0.85,85,0,0,0,0.116888434,€0 - €12K,6000
10,Sacha Marasović,16,1098,68.625,169,65,24,7.09,1,0.08,0.31,0,1.09,0.59,0.49,1.31,0.91,0.28,0.33,135.5,0.69,0,13,1.07,21,0,0,0,0,0,0,0,2,4.51,0,Croatia (3. HNL Zapad),0.86,85,0,0,0.9174311927,0.1234061931,€0 - €14K,7000
11,Dominik Mulac,11,990,90,184,70,23,6.96,3,0.27,0.32,0,1.5,0,0.09,0.27,0.92,0,0.09,107.7,0.65,5,5,3.18,104,0,0,0,0,0,0,0,1,13.45,0,Croatia (Druga HNL),1,100,0,0,2,0.1087878788,€8K - €26K,17000
12,Gerald Diyoke,16,1423,88.9375,175,69,26,6.87,1,0.06,0.43,1,0.58,0.43,0.19,0.89,0.89,0.18,0.13,184.1,0.66,0,29,0.89,34,0,0,0,0,0,0,0.79,0,4.05,0,Croatia (3. HNL Istok),0.79,89,0,0,1.724137931,0.1293745608,€0 - €28K,14000
