user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Nong Nhat Minh,,,2021-11-26 7:07:47,20,890,1035,FALSE,2022-06-08 17:02:44,"@DappCensus Nice project. @linhair8 @LongAirdrop @lamairdrop2 
#dappcensus #Airdrop #BNB #giveaway #Ethereum #Ukraine #RafaelNadal𓃵 #RafaelNadal #r4today #BTSAtWhiteHouse","['dappcensus', 'Airdrop', 'BNB', 'giveaway', 'Ethereum']",Twitter Web App,FALSE
Peter Ndoro,Africa,Broadcast Journalist | This is not a News Feed | Posts are my own thoughts on what interests me | Retweets are just that l 🇿🇦🇿🇲🇿🇼 |,2009-03-22 16:29:58,279853,191548,5787,TRUE,2022-06-08 16:52:04,The champions are being born everyday. They are fans one day and then they are your biggest rivals in competition #RafaelNadal𓃵  #RogerFederer https://t.co/02xnWuHymu,,Twitter for iPhone,FALSE
Gurpreet Singh,Mansa,https://t.co/2zAmCdu2Jh,2019-05-17 16:33:12,61,1214,2727,FALSE,2022-06-08 16:43:24,"@DappCensus 🤩
 Successful in 2022
Big profitable
@Baljit577 @Gaggu37084638
@Seepu84 @Gumnam_199
@AfzalWind786

#dappcensus #Airdrop #BNB #giveaway #Ethereum #Ukraine #RafaelNadal𓃵 #RafaelNadal #r4today #BTSAtWhiteHouse",,Twitter for Android,FALSE
💯 Earning Tips💰💰,"Dhaka, Bangladesh",ARKERARMY💪,2020-08-28 8:56:58,115,2195,3716,FALSE,2022-06-08 16:39:26,"@DappCensus This is very huge and great project and team is wonderful thnku so much for this great opportunity 🚀🚀 
@loknathray173 @ranak3178
@BipulRo50180205

#dappcensus #Airdrop #BNB #giveaway #Ethereum #Ukraine #RafaelNadal𓃵 #RafaelNadal #r4today #BTSAtWhiteHouse",,Twitter for Android,FALSE
ahs,universe,a common man.,2012-06-08 9:23:24,35,393,21,FALSE,2022-06-08 16:35:21,"@neeteshb @RajKumarMUFC @87vintage @nadalprop With 50% GS on his surface 2 GS per year #Djokovic able to win 12 #RafaelNadal𓃵 winning 14 on his favourite surface which is 1 in year 
What would have happened if there were 2 GS  on clay",['Djokovic'],Twitter for iPhone,FALSE
TroubleFault,,Tennis only. Only tennis. Trick shots and fancy stuff. Muchísima cringe.,2013-12-25 20:42:16,5982,167,34718,FALSE,2022-06-08 16:20:39,"In case you forgot where to find it @Eastwoo87166350 📍

#VamosRafa #RafaelNadal𓃵 https://t.co/iQ7kadWts5","['VamosRafa', 'RafaelNadal𓃵']",Twitter for iPhone,FALSE
TroubleFault,,Tennis only. Only tennis. Trick shots and fancy stuff. Muchísima cringe.,2013-12-25 20:42:16,5982,167,34718,FALSE,2022-06-08 16:09:55,"Thanks for exposing one of your burner accounts, but this is cheating @Eastwoo87166350

Go back to the other thread where you were threatening to harass me forever just because I like Rafa Nadal 

You were doing great work promoting the hashtags there 

#VamosRafa #RafaelNadal𓃵 https://t.co/uive7hFeem",,Twitter for iPhone,FALSE
Nong Binh Quan,,,2021-11-26 6:15:19,24,911,1035,FALSE,2022-06-08 16:01:34,"@DappCensus Amazing project. @TungAir1 @quanairdrop1 @QuangAir 
#dappcensus #Airdrop #BNB #giveaway #Ethereum #Ukraine #RafaelNadal𓃵 #RafaelNadal #r4today #BTSAtWhiteHouse","['dappcensus', 'Airdrop', 'BNB', 'giveaway', 'Ethereum']",Twitter Web App,FALSE
F1Maverick,Australia,Wanna talk F1? Can do all day.,2022-05-13 14:27:47,1,88,79,FALSE,2022-06-08 15:55:24,"@WeAreTennis This guy is amazing and he still stopped to sign some autographs 
I hope the treatment works. 
GOAT #RafaelNadal𓃵",['RafaelNadal𓃵'],Twitter for iPhone,FALSE
Tubitubi,Earth,,2019-06-15 12:56:03,95,2490,4308,FALSE,2022-06-08 15:51:19,"@DappCensus awesome project with amazing team behind it,check this out and let's join guys !
@AndikAnds @KintanaaXd @AfifMiftahuddin 
#dappcensus #Airdrop #BNB #giveaway #Ethereum #Ukraine #RafaelNadal𓃵 #RafaelNadal #r4today #BTSAtWhiteHouse",,Twitter Web App,FALSE
